Deportes,Futbol
Animales,Leon
Comida,Pastas
Banderas,Argentina
Deportes,Basket
Animales,Perro
Comida,Pollo
Banderas,Uruguay
Deportes,Tenis
Animales,Gato
Comida,Arroz
Banderas,Italia
Deportes,Golf
Animales,Caballo
Comida,Carne
Banderas,Brasil
Signos,Cancer
Frutas,Mandarina
Estaciones,Invierno
Ropa,Pantalon
Signos,Sagitario
Frutas,Naranja
Estaciones,Verano
Ropa,Remera
Signos,Escorpio
Frutas,Banana
Estaciones,Otoño
Ropa,Short
Signos,Acuario
Frutas,Mango
Estaciones,Primavera
Ropa,Medias
Instrumentos,Guitarra
Ciudades,Nueva York
Colores,Rojo
Profesiones,Doctor
Instrumentos,Piano
Ciudades,Londres
Colores,Azul
Profesiones,Ingeniero
Instrumentos,Violin
Ciudades,Tokio
Colores,Verde
Profesiones,Maestro
Instrumentos,Trompeta
Ciudades,Paris
Colores,Amarillo
Profesiones,Abogado
